순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,김민재,MB,대한항공,33,130,307,195,23,15,63.52
2,신영석,MB,한국전력,35,136,304,177,19,15,58.22
3,이상현,MB,우리카드,36,148,285,171,16,21,60.0
4,차영석,MB,KB손해보험,35,134,273,159,19,11,58.24
5,최민호,MB,현대캐피탈,35,124,236,148,17,8,62.71
6,전진선,MB,한국전력,36,123,249,142,12,16,57.03
7,박창성,MB,OK저축은행,34,121,263,129,18,22,49.05
8,정태준,MB,현대캐피탈,34,114,204,128,5,6,62.75
9,박원빈,MB,OK저축은행,35,125,221,111,17,8,50.23
10,김준우,MB,삼성화재,36,137,172,101,20,14,58.72
11,박상하,MB,KB손해보험,26,93,171,97,4,10,56.73
12,박진우,MB,우리카드,27,88,140,79,7,8,56.43
13,조재영,MB,대한항공,30,85,134,76,4,9,56.72
14,손태훈,MB,삼성화재,21,48,74,46,3,2,62.16
15,박준혁,MB,우리카드,27,61,85,44,4,7,51.76
16,양수현,MB,삼성화재,17,41,77,44,3,3,57.14
17,김규민,MB,대한항공,17,57,69,40,1,9,57.97
18,김재휘,MB,삼성화재,17,44,63,36,3,2,57.14
19,진성태,MB,OK저축은행,19,36,55,32,4,0,58.18
20,김완종,MB,우리카드,18,52,58,32,4,3,55.17
21,진지위,MB,대한항공,18,44,46,31,0,3,67.39
22,정성환,MB,한국전력,20,43,60,26,5,2,43.33
23,이준영,MB,KB손해보험,31,102,51,24,2,3,47.06
24,손찬홍,MB,현대캐피탈,15,28,34,18,2,1,52.94
25,김진영,MB,현대캐피탈,11,27,27,17,0,1,62.96
26,최준혁,MB,대한항공,13,45,18,13,0,2,72.22
27,우상조,MB,KB손해보험,7,18,23,11,3,1,47.83
28,최요한,MB,KB손해보험,4,10,15,9,1,2,60.0
29,김정윤,MB,삼성화재,7,11,13,8,1,0,61.54
30,손현종,MB,삼성화재,21,39,15,7,0,2,46.67
