순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,이준,OH,대한항공,19,66,53,32,1,2,60.38
2,정한용,OH,대한항공,33,136,37,20,4,2,54.05
3,파즐리,OP,삼성화재,34,124,27,18,0,3,66.67
4,구교혁,OP,한국전력,31,86,26,18,1,2,69.23
5,김우진,OH,삼성화재,30,75,22,17,1,1,77.27
6,서재덕,OH,한국전력,30,112,19,15,0,0,78.95
7,임성진,OH,한국전력,36,143,20,13,0,0,65.0
8,비예나,OP,KB손해보험,35,136,13,10,1,0,76.92
9,알리,OH,우리카드,35,130,11,9,0,0,81.82
10,이시몬,OH,삼성화재,35,107,10,8,0,0,80.0
11,요스바니,OP,대한항공,15,59,10,8,0,0,80.0
12,김웅비,OH,OK저축은행,19,58,14,7,1,0,50.0
13,김지한,OH,우리카드,35,128,9,7,0,1,77.78
14,김정호,OH,삼성화재,34,117,10,6,4,0,60.0
15,정지석,OH,대한항공,35,140,12,6,3,1,50.0
16,곽승석,OH,대한항공,20,62,10,6,0,1,60.0
17,나경복,OH,KB손해보험,32,123,6,5,1,0,83.33
18,임재영,OH,대한항공,21,52,9,5,0,2,55.56
19,신호진,OP,OK저축은행,35,113,11,5,3,1,45.45
20,김동영,OP,한국전력,36,118,3,3,0,0,100.0
21,윤하준,OH,한국전력,30,79,5,3,2,0,60.0
22,김형근,OH,우리카드,15,48,4,3,0,0,75.0
23,한성정,OH,우리카드,28,62,3,3,0,0,100.0
24,박승수,OH,한국전력,34,91,4,3,0,0,75.0
25,엘리안,OP,한국전력,5,23,3,2,0,0,66.67
26,송희채,OH,OK저축은행,26,74,2,2,0,0,100.0
27,송명근,OH,우리카드,31,73,4,2,1,1,50.0
28,장빙롱,OH,OK저축은행,17,50,2,2,0,0,100.0
29,루코니,OP,OK저축은행,5,16,1,1,0,0,100.0
30,박성진,OP,OK저축은행,5,10,1,1,0,0,100.0
