순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,레오,OH,현대캐피탈,36,130,415,187,23,36,45.06
2,비예나,OP,KB손해보험,35,136,383,163,45,19,42.56
3,파즐리,OP,삼성화재,34,124,312,133,38,26,42.63
4,김지한,OH,우리카드,35,128,317,117,33,31,36.91
5,허수봉,OH,현대캐피탈,35,126,277,112,28,24,40.43
6,임성진,OH,한국전력,36,143,280,106,38,35,37.86
7,나경복,OH,KB손해보험,32,123,270,96,27,22,35.56
8,알리,OH,우리카드,35,130,216,94,24,20,43.52
9,정지석,OH,대한항공,35,140,204,85,14,22,41.67
10,막심,OP,대한항공,29,101,218,82,23,14,37.61
11,요스바니,OP,대한항공,15,59,158,75,12,10,47.47
12,그로즈다노프,OH,삼성화재,17,50,162,66,23,9,40.74
13,차지환,OH,OK저축은행,29,84,150,64,16,14,42.67
14,니콜리치,OP,우리카드,20,81,174,63,17,17,36.21
15,김정호,OH,삼성화재,34,117,171,62,20,14,36.26
16,신펑,OP,현대캐피탈,36,116,147,59,14,14,40.14
17,정한용,OH,대한항공,33,136,178,56,16,22,31.46
18,구교혁,OP,한국전력,31,86,132,56,21,22,42.42
19,윤하준,OH,한국전력,30,79,116,51,12,10,43.97
20,신호진,OP,OK저축은행,35,113,148,51,20,12,34.46
21,엘리안,OP,한국전력,5,23,104,50,4,7,48.08
22,송명근,OH,우리카드,31,73,109,50,14,5,45.87
23,크리스,OP,OK저축은행,30,105,129,47,10,11,36.43
24,마테우스,OP,한국전력,6,20,76,42,7,5,55.26
25,송희채,OH,OK저축은행,26,74,118,41,16,5,34.75
26,아히,OP,우리카드,6,27,89,39,14,10,43.82
27,이시몬,OH,삼성화재,35,107,90,39,10,11,43.33
28,황경민,OH,KB손해보험,28,97,119,37,14,9,31.09
29,서재덕,OH,한국전력,30,112,133,36,20,9,27.07
30,김동영,OP,한국전력,36,118,77,35,9,5,45.45
