순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,김완종,MB,우리카드,18,52,4,3,0,0,75
2,조재영,MB,대한항공,30,85,5,3,0,0,60
3,최준혁,MB,대한항공,13,45,3,3,0,0,100
4,김민재,MB,대한항공,33,130,0,0,0,0,0
5,이호건,S,삼성화재,35,115,0,0,0,0,0
6,손태훈,MB,삼성화재,21,48,0,0,0,0,0
7,이시몬,OH,삼성화재,35,107,0,0,0,0,0
8,김재휘,MB,삼성화재,17,44,0,0,0,0,0
9,노재욱,S,삼성화재,33,92,0,0,0,0,0
10,손현종,MB,삼성화재,21,39,0,0,0,0,0
11,조국기,L,삼성화재,36,125,0,0,0,0,0
12,서현일,OH,대한항공,13,22,0,0,0,0,0
13,배해찬솔,S,우리카드,0,0,0,0,0,0,0
14,아레프,OP,대한항공,17,43,0,0,0,0,0
15,김준호,OP,대한항공,4,9,0,0,0,0,0
16,강승일,L,대한항공,12,47,0,0,0,0,0
17,송민근,L,대한항공,8,33,0,0,0,0,0
18,한선수,S,대한항공,32,87,0,0,0,0,0
19,이준,OH,대한항공,19,66,0,0,0,0,0
20,정한용,OH,대한항공,33,136,0,0,0,0,0
21,임재영,OH,대한항공,21,52,0,0,0,0,0
22,박지훈,L,대한항공,1,5,0,0,0,0,0
23,진지위,MB,대한항공,18,44,2,0,0,0,0
24,요스바니,OP,대한항공,15,59,0,0,0,0,0
25,김형진,S,대한항공,9,20,0,0,0,0,0
26,정지석,OH,대한항공,35,140,0,0,0,0,0
27,김규민,MB,대한항공,17,57,0,0,0,0,0
28,이수황,MB,대한항공,9,22,0,0,0,0,0
29,곽승석,OH,대한항공,20,62,0,0,0,0,0
30,정성민,L,대한항공,1,5,0,0,0,0,0
