순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,레오,OH,현대캐피탈,36,130,472,279,30,20,59.11
2,알리,OH,우리카드,35,130,410,240,37,22,58.54
3,허수봉,OH,현대캐피탈,35,126,387,230,24,21,59.43
4,임성진,OH,한국전력,36,143,447,230,49,39,51.45
5,비예나,OP,KB손해보험,35,136,347,227,41,14,65.42
6,나경복,OH,KB손해보험,32,123,384,217,42,18,56.51
7,파즐리,OP,삼성화재,34,124,354,208,28,14,58.76
8,정지석,OH,대한항공,35,140,384,206,30,28,53.65
9,김지한,OH,우리카드,35,128,383,200,47,20,52.22
10,신호진,OP,OK저축은행,35,113,336,194,38,6,57.74
11,막심,OP,대한항공,29,101,347,183,31,9,52.74
12,정한용,OH,대한항공,33,136,348,173,36,20,49.71
13,김정호,OH,삼성화재,34,117,296,152,16,22,51.35
14,차지환,OH,OK저축은행,29,84,263,126,24,13,47.91
15,황경민,OH,KB손해보험,28,97,220,120,19,6,54.55
16,서재덕,OH,한국전력,30,112,210,112,24,12,53.33
17,요스바니,OP,대한항공,15,59,229,112,21,10,48.91
18,송명근,OH,우리카드,31,73,179,107,19,9,59.78
19,김건우,OH,OK저축은행,35,94,201,96,34,6,47.76
20,김웅비,OH,OK저축은행,19,58,203,92,22,8,45.32
21,신펑,OP,현대캐피탈,36,116,172,90,12,13,52.33
22,니콜리치,OP,우리카드,20,81,167,89,16,11,53.29
23,윤하준,OH,한국전력,30,79,164,88,19,10,53.66
24,이준,OH,대한항공,19,66,176,87,20,9,49.43
25,김동영,OP,한국전력,36,118,145,86,13,9,59.31
26,야쿱,OH,KB손해보험,14,48,151,77,12,11,50.99
27,김우진,OH,삼성화재,30,75,157,77,31,8,49.04
28,장빙롱,OH,OK저축은행,17,50,152,75,16,7,49.34
29,송희채,OH,OK저축은행,26,74,163,71,24,12,43.56
30,이시몬,OH,삼성화재,35,107,134,70,23,9,52.24
