순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,비예나,OP,KB손해보험,35,136,578,325,48,54,56.23
2,파즐리,OP,삼성화재,34,124,378,204,44,33,53.97
3,신호진,OP,OK저축은행,35,113,327,163,33,44,49.85
4,허수봉,OH,현대캐피탈,35,126,230,142,15,19,61.74
5,막심,OP,대한항공,29,101,295,139,40,40,47.12
6,요스바니,OP,대한항공,15,59,241,122,15,31,50.62
7,레오,OH,현대캐피탈,36,130,213,117,18,17,54.93
8,알리,OH,우리카드,35,130,171,108,6,22,63.16
9,니콜리치,OP,우리카드,20,81,226,106,23,13,46.9
10,신펑,OP,현대캐피탈,36,116,205,105,22,24,51.22
11,정한용,OH,대한항공,33,136,149,87,5,17,58.39
12,구교혁,OP,한국전력,31,86,169,82,33,17,48.52
13,김우진,OH,삼성화재,30,75,129,81,15,9,62.79
14,크리스,OP,OK저축은행,30,105,176,80,18,19,45.45
15,김정호,OH,삼성화재,34,117,109,70,5,11,64.22
16,아히,OP,우리카드,6,27,107,68,9,5,63.55
17,김동영,OP,한국전력,36,118,143,66,15,22,46.15
18,김지한,OH,우리카드,35,128,114,65,8,11,57.02
19,나경복,OH,KB손해보험,32,123,113,65,6,7,57.52
20,임성진,OH,한국전력,36,143,138,58,6,16,42.03
21,그로즈다노프,OH,삼성화재,17,50,89,57,12,6,64.04
22,마테우스,OP,한국전력,6,20,103,49,10,12,47.57
23,정지석,OH,대한항공,35,140,71,46,3,8,64.79
24,엘리안,OP,한국전력,5,23,71,36,3,14,50.7
25,김건우,OH,OK저축은행,35,94,69,35,6,9,50.72
26,이강원,OP,우리카드,29,94,80,35,11,5,43.75
27,송희채,OH,OK저축은행,26,74,68,34,4,7,50.0
28,이준,OH,대한항공,19,66,46,30,3,4,65.22
29,차지환,OH,OK저축은행,29,84,56,30,4,6,53.57
30,야쿱,OH,KB손해보험,14,48,51,30,3,1,58.82
