순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,강소휘,OH,한국도로공사,36,142,126,66,3,3,52.38
2,모마,OP,현대건설,35,128,82,37,2,3,45.12
3,정지윤,OH,현대건설,35,125,63,35,4,4,55.56
4,배유나,MB,한국도로공사,36,142,60,30,5,3,50.0
5,메가,OP,정관장,32,128,45,30,0,5,66.67
6,위파위,OH,현대건설,26,98,54,29,4,2,53.7
7,타나차,OH,한국도로공사,24,99,50,26,2,0,52.0
8,양효진,MB,현대건설,32,122,36,21,0,0,58.33
9,빅토리아,OP,IBK기업은행,36,135,31,20,3,2,64.52
10,테일러,OP,페퍼저축은행,31,117,31,20,0,1,64.52
11,부키리치,OH,정관장,30,119,33,20,1,2,60.61
12,김연경,OH,흥국생명,34,122,37,19,1,1,51.35
13,박정아,OH,페퍼저축은행,36,135,46,19,2,2,41.3
14,유서연,OH,GS칼텍스,30,112,35,18,3,1,51.43
15,권민지,OH,GS칼텍스,27,95,28,15,2,1,53.57
16,실바,OP,GS칼텍스,32,124,25,14,2,2,56.0
17,고예림,OH,현대건설,34,91,22,12,1,2,54.55
18,표승주,OH,정관장,33,131,28,12,1,0,42.86
19,황민경,OH,IBK기업은행,33,122,37,11,0,1,29.73
20,하혜진,MB,페퍼저축은행,26,98,25,11,1,3,44.0
21,이한비,OH,페퍼저축은행,34,116,30,10,2,4,33.33
22,투트쿠,OP,흥국생명,23,79,15,9,0,1,60.0
23,장위,MB,페퍼저축은행,36,142,17,7,2,1,41.18
24,육서영,OH,IBK기업은행,36,134,18,7,2,1,38.89
25,전다빈,OH,정관장,14,33,12,6,3,0,50.0
26,이예림,OH,페퍼저축은행,36,121,6,3,0,0,50.0
27,박혜민,OH,정관장,17,39,8,3,0,0,37.5
28,정호영,MB,정관장,33,132,5,3,0,0,60.0
29,박은서,OH,페퍼저축은행,33,70,14,3,4,0,21.43
30,김미연,OH,흥국생명,23,46,8,3,0,0,37.5
