순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,모마,OP,현대건설,35,128,798,316,62,50,39.6
2,메가,OP,정관장,32,128,682,292,68,56,42.82
3,빅토리아,OP,IBK기업은행,36,135,767,272,55,75,35.46
4,부키리치,OH,정관장,30,119,704,271,51,70,38.49
5,실바,OP,GS칼텍스,32,124,580,224,64,66,38.62
6,강소휘,OH,한국도로공사,36,142,598,187,37,32,31.27
7,박정아,OH,페퍼저축은행,36,135,599,185,38,42,30.88
8,니콜로바,OP,한국도로공사,36,145,507,176,52,41,34.71
9,김연경,OH,흥국생명,34,122,442,161,11,42,36.43
10,테일러,OP,페퍼저축은행,31,117,489,150,24,41,30.67
11,양효진,MB,현대건설,32,122,286,134,5,18,46.85
12,이한비,OH,페퍼저축은행,34,116,413,132,30,29,31.96
13,정윤주,OH,흥국생명,35,124,397,132,23,34,33.25
14,타나차,OH,한국도로공사,24,99,349,121,26,29,34.67
15,육서영,OH,IBK기업은행,36,134,404,112,25,28,27.72
16,정지윤,OH,현대건설,35,125,368,102,31,35,27.72
17,배유나,MB,한국도로공사,36,142,261,90,12,20,34.48
18,투트쿠,OP,흥국생명,23,79,244,84,18,10,34.43
19,권민지,OH,GS칼텍스,27,95,259,83,17,22,32.05
20,위파위,OH,현대건설,26,98,256,75,15,13,29.3
21,황민경,OH,IBK기업은행,33,122,292,74,18,14,25.34
22,표승주,OH,정관장,33,131,297,71,23,17,23.91
23,정호영,MB,정관장,33,132,144,67,1,12,46.53
24,유서연,OH,GS칼텍스,30,112,228,57,24,14,25.0
25,와일러,OH,GS칼텍스,10,36,198,54,7,12,27.27
26,박은서,OH,페퍼저축은행,33,70,163,52,18,16,31.9
27,김다은,S,한국도로공사,36,139,105,46,2,9,43.81
28,고예림,OH,현대건설,34,91,146,45,7,12,30.82
29,김다은,OH,흥국생명,24,66,165,42,22,21,25.45
30,최정민,MB,IBK기업은행,36,134,138,41,7,12,29.71
