순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,피치,MB,흥국생명,34,128,304,161,18,26,52.96
2,장위,MB,페퍼저축은행,36,142,146,64,5,9,43.84
3,이주아,MB,IBK기업은행,35,130,95,49,4,4,51.58
4,배유나,MB,한국도로공사,36,142,110,47,4,1,42.73
5,테일러,OP,페퍼저축은행,31,117,90,46,3,4,51.11
6,이다현,MB,현대건설,34,130,58,29,1,4,50.0
7,뚜이,MB,GS칼텍스,18,72,40,23,5,0,57.5
8,최정민,MB,IBK기업은행,36,134,42,15,1,0,35.71
9,박은진,MB,정관장,31,124,23,11,1,1,47.83
10,김수지,MB,흥국생명,33,116,34,11,3,1,32.35
11,김희진,MB,IBK기업은행,30,53,6,5,0,0,83.33
12,김세빈,MB,한국도로공사,36,128,7,5,0,0,71.43
13,변지수,MB,흥국생명,7,15,8,5,0,1,62.5
14,서채원,MB,GS칼텍스,17,59,15,4,0,2,26.67
15,빅토리아,OP,IBK기업은행,36,135,9,4,1,2,44.44
16,김현정,MB,한국도로공사,24,49,4,4,0,0,100.0
17,실바,OP,GS칼텍스,32,124,3,1,0,0,33.33
18,강소휘,OH,한국도로공사,36,142,0,0,0,0,0.0
19,김연견,L,현대건설,33,123,0,0,0,0,0.0
20,김미진,L,한국도로공사,1,1,0,0,0,0,0.0
21,이예은,OH,한국도로공사,31,73,0,0,0,0,0.0
22,이윤정,S,한국도로공사,27,64,0,0,0,0,0.0
23,김세인,OH,한국도로공사,29,57,0,0,0,0,0.0
24,하효림,S,한국도로공사,9,13,0,0,0,0,0.0
25,서지혜,OH,현대건설,18,38,0,0,0,0,0.0
26,김다인,S,현대건설,35,135,0,0,0,0,0.0
27,이영주,L,현대건설,22,59,0,0,0,0,0.0
28,모마,OP,현대건설,35,128,0,0,0,0,0.0
29,이수연,S,현대건설,5,8,0,0,0,0,0.0
30,김사랑,S,현대건설,19,25,0,0,0,0,0.0
