순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,실바,OP,GS칼텍스,32,124,645,327,55,43,50.7
2,김연경,OH,흥국생명,34,122,514,280,6,23,54.47
3,빅토리아,OP,IBK기업은행,36,135,504,241,34,39,47.82
4,니콜로바,OP,한국도로공사,36,145,496,235,39,52,47.38
5,강소휘,OH,한국도로공사,36,142,572,232,27,17,40.56
6,육서영,OH,IBK기업은행,36,134,556,224,43,45,40.29
7,박정아,OH,페퍼저축은행,36,135,554,205,26,15,37.0
8,메가,OP,정관장,32,128,360,193,35,18,53.61
9,타나차,OH,한국도로공사,24,99,489,192,36,39,39.26
10,부키리치,OH,정관장,30,119,408,192,25,35,47.06
11,정윤주,OH,흥국생명,35,124,456,190,26,27,41.67
12,정지윤,OH,현대건설,35,125,407,186,22,26,45.7
13,테일러,OP,페퍼저축은행,31,117,351,161,24,21,45.87
14,이한비,OH,페퍼저축은행,34,116,455,160,34,18,35.16
15,표승주,OH,정관장,33,131,358,144,27,11,40.22
16,투트쿠,OP,흥국생명,23,79,315,144,10,12,45.71
17,유서연,OH,GS칼텍스,30,112,336,136,35,12,40.48
18,위파위,OH,현대건설,26,98,292,121,18,10,41.44
19,권민지,OH,GS칼텍스,27,95,326,120,35,20,36.81
20,황민경,OH,IBK기업은행,33,122,318,107,17,18,33.65
21,박은서,OH,페퍼저축은행,33,70,199,86,25,8,43.22
22,이주아,OH,GS칼텍스,27,73,198,84,19,17,42.42
23,모마,OP,현대건설,35,128,173,78,18,6,45.09
24,와일러,OH,GS칼텍스,10,36,188,76,6,5,40.43
25,전새얀,OH,한국도로공사,24,55,146,58,11,2,39.73
26,김다은,OH,흥국생명,24,66,102,53,6,1,51.96
27,고예림,OH,현대건설,34,91,141,52,5,9,36.88
28,이예림,OH,페퍼저축은행,36,121,106,51,8,6,48.11
29,마테이코,OP,흥국생명,8,30,83,40,3,3,48.19
30,이선우,OH,정관장,32,68,105,39,7,12,37.14
