순서,선수,포지션,전체팀,경기수,세트수,시도,성공,실패,범실,성공률
1,실바,OP,GS칼텍스,32,124,757,354,58,77,46.76
2,빅토리아,OP,IBK기업은행,36,135,733,280,47,98,38.2
3,모마,OP,현대건설,35,128,567,232,36,39,40.92
4,메가,OP,정관장,32,128,407,203,31,44,49.88
5,니콜로바,OP,한국도로공사,36,145,394,140,22,43,35.53
6,테일러,OP,페퍼저축은행,31,117,364,117,16,45,32.14
7,투트쿠,OP,흥국생명,23,79,211,76,3,20,36.02
8,부키리치,OH,정관장,30,119,189,63,17,35,33.33
9,김연경,OH,흥국생명,34,122,141,62,4,14,43.97
10,정윤주,OH,흥국생명,35,124,111,40,1,13,36.04
11,황연주,OP,현대건설,9,19,42,14,2,2,33.33
12,박은서,OH,페퍼저축은행,33,70,42,13,2,5,30.95
13,이선우,OH,정관장,32,68,36,12,0,7,33.33
14,이한비,OH,페퍼저축은행,34,116,35,12,1,3,34.29
15,박정아,OH,페퍼저축은행,36,135,39,9,1,5,23.08
16,마테이코,OP,흥국생명,8,30,47,8,2,10,17.02
17,문지윤,OP,GS칼텍스,21,51,31,7,0,8,22.58
18,나현수,MB,현대건설,35,95,29,7,0,6,24.14
19,강소휘,OH,한국도로공사,36,142,18,7,0,5,38.89
20,정지윤,OH,현대건설,35,125,12,5,1,2,41.67
21,와일러,OH,GS칼텍스,10,36,12,5,0,1,41.67
22,타나차,OH,한국도로공사,24,99,18,5,1,3,27.78
23,자비치,OP,페퍼저축은행,2,8,12,4,0,5,33.33
24,위파위,OH,현대건설,26,98,15,4,1,1,26.67
25,이주아,OH,GS칼텍스,27,73,9,2,1,1,22.22
26,김다은,OH,흥국생명,24,66,14,1,2,5,7.14
27,황민경,OH,IBK기업은행,33,122,2,1,1,0,50.0
28,김희진,MB,IBK기업은행,30,53,4,1,0,0,25.0
29,육서영,OH,IBK기업은행,36,134,9,1,0,0,11.11
30,박경현,OH,페퍼저축은행,10,11,3,1,0,0,33.33
