,선수,팀,OCI
0,비예나,KB손해보험,1.0165315095350196
1,파즐리,삼성화재,0.7861293617259076
2,신호진,OK저축은행,0.7716421509898099
3,요스바니,대한항공,0.6678349287699656
4,알리,우리카드,0.5792222754794352
5,레오,현대캐피탈,0.4597098234299251
6,허수봉,현대캐피탈,0.3920369852116813
7,송명근,우리카드,0.22534937929178786
8,김민재,대한항공,0.19335249682601122
9,막심,대한항공,0.13666339600911068
10,차지환,OK저축은행,0.09218614878831927
11,김우진,삼성화재,0.08675099817589027
12,나경복,KB손해보험,0.08659295475094766
13,김동영,한국전력,-0.042899324921159665
14,정지석,대한항공,-0.06248709318324561
15,김정호,삼성화재,-0.0760363777107558
16,이준,대한항공,-0.0984671157672215
17,신영석,한국전력,-0.14137527527755905
18,김지한,우리카드,-0.21589731594024533
19,그로즈다노프,삼성화재,-0.22941055159316492
20,정한용,대한항공,-0.2579234826553286
21,니콜리치,우리카드,-0.26003448386527295
22,이상현,우리카드,-0.2802344098559847
23,임성진,한국전력,-0.28760172373073334
24,구교혁,한국전력,-0.39918470905158016
25,윤하준,한국전력,-0.43672685176392356
26,신펑,현대캐피탈,-0.6093549875371825
27,크리스,OK저축은행,-0.6560613634662641
28,서재덕,한국전력,-0.7151974181931315
29,황경민,KB손해보험,-0.7251099244710744
