선수,팀,ADI,AER,ER,AEI,OCI
강소휘,한국도로공사,0.14679081818986223,0.47070942534211935,-1.195277634709876,-0.39295921029141867,0.11671914023741552
권민지,GS칼텍스,-0.7542597870283789,-0.31309476083559884,0.2096988745717817,-1.034124823811017,-0.7014584539475796
김연경,흥국생명,0.6598393672115591,0.48233985923523987,0.23068959140792794,1.0871028034600918,0.6973169688549438
니콜로바,한국도로공사,0.6360339601633261,0.5792481101945745,1.6339482097859963,0.08295654520494074,0.17360831469285182
메가,정관장,1.0126193546090256,1.1474643837745573,0.8491279266510028,1.2829829324227875,0.9683013148999104
모마,현대건설,0.7114093282569305,1.4229330277884162,-0.29696266540631666,-0.1731406918376481,0.4940255788169091
박은서,페퍼저축은행,0.4853520066747577,-0.44775516970070994,0.16934497832241413,0.011221983864153047,-0.0030464950430682605
박정아,페퍼저축은행,-0.19321527457971197,0.44744042103833964,-0.7587238176227786,-0.778759254001775,-0.1720750332237753
배유나,한국도로공사,1.5490151265187166,-0.8713457256415637,-1.0674920232202836,0.33178559503298505,0.40888079055451065
부키리치,정관장,0.5009233112592475,1.018236263060039,2.1149934107527293,-0.307508112996492,0.0452873073059519
빅토리아,IBK기업은행,1.0543942057610962,2.118195804084888,2.074492478713652,0.6458733774957389,0.8440476055884263
실바,GS칼텍스,0.9838089870177531,2.4173282865174004,1.4371466499316214,1.3787340619101516,1.2580632781546868
양효진,현대건설,-0.5293943594347962,-0.7884142706314502,-0.7572618513265471,1.605994924941543,0.3886719975927104
위파위,현대건설,0.2499987609283645,-0.35694956809769635,-1.2603417510300043,-1.0355461243985562,-0.3149219764487551
유서연,GS칼텍스,-0.6597643534939871,-0.6221561796976928,-1.1062519994599016,-1.1121114479332506,-0.65469951252523
육서영,IBK기업은행,-0.9532185048732207,-0.05758856853908978,0.46310081314768514,-0.6458022923107886,-0.5573327665921616
이다현,현대건설,-2.716624621059153,-1.318030432282083,-0.5091284426935385,1.9409975601620548,-0.18135189500113316
이주아,IBK기업은행,0.8552618197028184,-1.335251426877333,-1.3091862592814165,0.9587010787770064,0.3944016556453156
이한비,페퍼저축은행,-0.1806825239869669,0.13198473548044665,-0.43427071869700956,-0.8069728696398437,-0.2915365231128666
장위,페퍼저축은행,-0.8489848538077763,-1.1945425608270615,0.10910436333865983,0.8986684393888619,-0.16232491423703066
정윤주,흥국생명,-0.049620836162284236,0.05898946014171082,0.5528159941680837,-0.835865198258845,-0.3872855227254897
정지윤,현대건설,-0.051240096979660824,-0.2158867781860968,0.6651178375239288,-0.7028070204971022,-0.41441631074267316
정호영,정관장,-1.282640667631645,-1.3789236082467258,-0.013070738362489422,0.5981571947738142,-0.42482111722381805
최정민,IBK기업은행,-0.22402582210634742,-1.291813395734091,-1.2188814011957985,0.18167743365901845,-0.18440069087692232
타나차,한국도로공사,-0.21701181832433555,0.4421639546808726,0.6411266611617759,-0.264920961350773,-0.11379301656735252
테일러,페퍼저축은행,2.032327002258227,1.0503346855257418,0.9645471624872832,0.1240764464164279,0.723841284263835
투트쿠,흥국생명,1.0000963887479706,0.6654357679986486,-0.6006789369728925,-0.3328295735523452,0.343319103463006
표승주,정관장,-0.8047269454787469,-0.6555151077675022,-1.3266582399475224,-2.0452255384966582,-1.0504849047154734
피치,흥국생명,-1.9300921929690507,-0.9753931823957362,0.5422081489850208,1.2745978999416065,-0.27075299876305614
황민경,IBK기업은행,-0.48236777938364084,-0.6301434494025666,-0.8032766210231965,-1.9349551580747255,-0.9717822083241225
